uid,datetime,city,state,country,shape,durationSeconds,durationHours/min,comments,date posted,latitude,longitude,Admin level 2,Admin level 1,parsedCountry
UFO097,10/10/1999 21:30,humphrey,ne,us,sphere,300,5 min,Object moving erratically in sky stopped by spot light,2/14/2006,41.6916667,-97.4841667,Platte County,Nebraska,United States of America
UFO098,10/10/1999 22:00,dorset (uk/england),,,flash,1,<1 second,Whilst out late night cycling (as i have done so for many years and am a hardy fellow);I paused at the cliff tops of our local beach&#44(a,2/14/2006,0,0,,,
UFO099,10/10/1999 22:30,casey key (north end of),fl,,triangle,120,several minutes,A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel,9/19/2002,27.150053,-82.480653,Sarasota County,Florida,United States of America
UFO100,10/10/1999 22:30,elgin,or,us,chevron,240,4 minutes,Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of,10/19/1999,45.565,-117.9163889,Union County,Oregon,United States of America
UFO101,10/10/1999 23:45,lewiston,mi,us,oval,2700,45 minutes,Oval shaped with lights all around it in a haze with several smaller lights flying all around it.,10/19/1999,44.8838889,-84.3055556,Montmorency County,Michigan,United States of America
UFO102,10/10/2000 3:00,perryville,mo,us,oval,180,3 minutes,The craft was big&#44 orange&#44 and oval shaped.,12/2/2000,37.7241667,-89.8611111,Perry County,Missouri,United States of America
UFO103,10/10/2000 3:45,carnival cruise ship (paradise) (caribbean),,,flash,1200,20 mins.,Motionless eratic flashing light.,12/9/2000,0,0,,,
UFO104,10/10/2000 6:15,boynton beach,fl,us,other,10,10 seconds,Unusual light formation moving extremely fast across the sky.,12/2/2000,26.525,-80.0666667,Palm Beach County,Florida,United States of America
UFO105,10/10/2000 7:30,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483333,Queens County,Prince Edward Island,Canada
UFO106,10/10/2000 16:00,jueanu,wi,,triangle,45,45 seconds,5 bight light V shaped,12/2/2000,43.40555,-88.705104,Dodge County,Wisconsin,United States of America
UFO107,10/10/2000 20:20,valley park area of st. louis,mo,,oval,15,15 seconds,Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a,12/2/2000,38.627003,-90.199404,,Missouri,United States of America
UFO108,10/10/2000 20:30,brinktown,mo,us,light,1800,30 min.,3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min.,12/2/2000,38.1266667,-92.0844444,Maries County,Missouri,United States of America
UFO109,10/10/2000 21:30,florence,ky,us,light,5,4-5 seconds,Two objects traveling side by side pass over&#44 as one begins to zig&#44 zag it&#39s path.,12/2/2000,38.9988889,-84.6266667,Boone County,Kentucky,United States of America
UFO110,10/10/2000 21:30,seattle (west),wa,us,unknown,10,10 sec,Dark object in the shape of a (4) after dusk in West Seattle,2/11/2003,47.6063889,-122.3308333,King County,Washington,United States of America
UFO111,10/10/2000 22:00,port orchard,wa,us,diamond,60,1min,One night my window started to flash,5/12/2009,47.5405556,-122.635,Kitsap County,Washington,United States of America
UFO112,10/10/2001 3:00,rockwell city,ia,us,triangle,240,4 min.s,Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it.,7/1/2002,42.3952778,-94.6336111,Calhoun County,Iowa,United States of America
UFO113,10/10/2001 4:33,sydney (nsw&#44 australia),,au,formation,180,3 minutes,formation and impact,11/20/2001,-33.861481,151.205475,Council of the City of Sydney,New South Wales,Australia
UFO114,10/10/2001 20:10,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,Greater Vancouver,British Columbia,Canada
